file,type,smells,frame,itCount,describeCount
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/set.test.js,Duplicate Assert,"{'line': 63, 'column': 4, 'index': 1766}","  61 |     img.setAttribute(""data-srcset"", url400);
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Duplicate Assert,"{'line': 68, 'column': 4, 'index': 1968}","  66 |     setSources(img, settings, instance);
  67 |     cancelLoading(img, entry, settings, instance);
> 68 |     expect(img).toHaveAttribute(""src"", url1);
     |    ^ Duplicate Assert
  69 |     expect(img).not.toHaveAttribute(""srcset"");
  70 |     expect(img).not.toHaveAttribute(""sizes"");
  71 |   });",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 2014}","  67 |     cancelLoading(img, entry, settings, instance);
  68 |     expect(img).toHaveAttribute(""src"", url1);
> 69 |     expect(img).not.toHaveAttribute(""srcset"");
     |    ^ Duplicate Assert
  70 |     expect(img).not.toHaveAttribute(""sizes"");
  71 |   });
  72 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Duplicate Assert,"{'line': 70, 'column': 4, 'index': 2061}","  68 |     expect(img).toHaveAttribute(""src"", url1);
  69 |     expect(img).not.toHaveAttribute(""srcset"");
> 70 |     expect(img).not.toHaveAttribute(""sizes"");
     |    ^ Duplicate Assert
  71 |   });
  72 |
  73 |   test(""Removes loading class"", () => {",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Duplicate Assert,"{'line': 99, 'column': 4, 'index': 2957}","   97 |     setSources(img, settings, instance);
   98 |     cancelLoading(img, entry, settings, instance);
>  99 |     expect(cancelCb).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  100 |     expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);
  101 |   });
  102 | });",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Duplicate Assert,"{'line': 100, 'column': 4, 'index': 3004}","   98 |     cancelLoading(img, entry, settings, instance);
   99 |     expect(cancelCb).toHaveBeenCalledTimes(1);
> 100 |     expect(cancelCb).toHaveBeenCalledWith(img, entry, instance);
      |    ^ Duplicate Assert
  101 |   });
  102 | });
  103 |",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Global Variable,"{'line': 13, 'column': 0, 'index': 473}","  11 | expectExtend(expect);
  12 |
> 13 | var outerDiv, instance, settings;
  14 |
  15 | beforeEach(() => {
  16 |   outerDiv = document.createElement(""div"");",,
/home/gabriel/Desktop/research/projects/vanilla-lazyload/tests/unit/cancelOnExit.test.js,Magic Number,"{'line': 84, 'column': 39, 'index': 2522}","  82 |     setSources(img, settings, instance);
  83 |     cancelLoading(img, entry, settings, instance);
> 84 |     expect(instance.loadingCount).toBe(0);
     |                                       ^ Magic Number
  85 |   });
  86 |
  87 |   test(""Resets internal status"", () => {",,
tests/unit/set.test.js,GeneralFixture,"[{""startLine"":14,""endLine"":14}]",,19.0,7.0
tests/unit/set.test.js,IdenticalTestDescription,"[{""startLine"":176,""endLine"":181}]",,19.0,7.0
tests/unit/set.test.js,IdenticalTestDescription,"[{""startLine"":182,""endLine"":190}]",,19.0,7.0
tests/unit/set.test.js,IdenticalTestDescription,"[{""startLine"":191,""endLine"":200}]",,19.0,7.0
tests/unit/set.test.js,IdenticalTestDescription,"[{""startLine"":222,""endLine"":228}]",,19.0,7.0
tests/unit/restore.test.js,GeneralFixture,"[{""startLine"":21,""endLine"":21}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":112,""endLine"":117}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":150,""endLine"":163}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":180,""endLine"":183}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":199,""endLine"":210}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":228,""endLine"":231}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":256,""endLine"":267}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":284,""endLine"":287}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":289,""endLine"":294}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":305,""endLine"":312}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":314,""endLine"":325}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":347,""endLine"":350}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":352,""endLine"":357}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":359,""endLine"":365}]",,29.0,6.0
tests/unit/restore.test.js,IdenticalTestDescription,"[{""startLine"":381,""endLine"":392}]",,29.0,6.0
tests/unit/restore.test.js,NonFunctionalStatement,"[{""startLine"":337,""endLine"":338}]",,29.0,6.0
tests/unit/reset.test.js,GeneralFixture,"[{""startLine"":13,""endLine"":13}]",,1.0,1.0
tests/unit/reset.test.js,GeneralFixture,"[{""startLine"":14,""endLine"":14}]",,1.0,1.0
tests/unit/reset.test.js,GeneralFixture,"[{""startLine"":15,""endLine"":15}]",,1.0,1.0
tests/unit/originalAttributes.test.js,GeneralFixture,"[{""startLine"":14,""endLine"":14}]",,1.0,1.0
tests/unit/load.test.js,GeneralFixture,"[{""startLine"":15,""endLine"":15}]",,2.0,1.0
tests/unit/cancelOnExit.test.js,GeneralFixture,"[{""startLine"":16,""endLine"":16}]",,8.0,2.0
tests/unit/cancelOnExit.test.js,SubOptimalAssert,"[{""startLine"":91,""endLine"":91}]",,8.0,2.0
